source_id,destination_id,units_shipped,total_cost
S3d355c4,D9258c87,11227,788.56
S3d355c4,D6c9864c,12528,2722.55
S3d355c4,D017c84c,12481,249.62
S3d355c4,D017c84c,14529,435.87
S3d355c4,D98c2300,19767,6753.73
S3d355c4,D98c2300,17295,4698.48
S3d355c4,D9258c87,16676,3172.41
S3d355c4,D017c84c,16856,5225.36
S3d355c4,D3d03c41,11244,937.85
S3d355c4,D98c2300,10133,624.87
S3d355c4,D017c84c,18632,1490.56
S3d355c4,D3d03c41,10173,3086.58
S3d355c4,D9258c87,11765,1061.65
S3d355c4,D3d03c41,12498,667.51
S3d355c4,D6c9864c,16182,603.86
S3d355c4,D9258c87,10316,3097.26
S3d355c4,D6ca4f41,15619,2306.41
S3d355c4,D017c84c,19390,581.7
S3d355c4,D98c2300,18780,2097.1
S3d355c4,D017c84c,11411,1141.1
S3d355c4,D3d03c41,15560,2698.25
S3d355c4,D017c84c,13322,399.66
S3d355c4,D017c84c,17576,351.52
S3d355c4,D017c84c,14960,748.0
S3d355c4,D6c9864c,14825,3814.73
S3d355c4,D3d03c41,11268,2404.69
S3d355c4,D98c2300,15256,2161.27
S3d355c4,D6c9864c,16181,603.83
S3d355c4,D6c9864c,10406,1116.74
S3d355c4,D6c9864c,15438,1348.0
S3d355c4,D017c84c,14170,1842.1
S3d355c4,D6c9864c,17171,1499.32
S3d355c4,D3d03c41,12138,648.28
S3d355c4,D017c84c,13370,2674.0
S3d355c4,D6c9864c,12787,2267.35
S3d355c4,D6c9864c,12896,481.24
S3d355c4,D017c84c,14372,1149.76
S3d355c4,D017c84c,11229,898.32
S3d355c4,D98c2300,12688,274.91
S3d355c4,D3d03c41,14138,4572.36
S3d355c4,D9258c87,10604,108.56
S3d355c4,D9258c87,15037,454.69
S3d355c4,D3d03c41,16236,2977.83
S3d355c4,D9258c87,15849,796.22
S3d355c4,D3d03c41,11153,38.02
S3d355c4,D3d03c41,15073,1860.15
S3d355c4,D9258c87,12707,1273.73
S3d355c4,D9258c87,15613,940.5
S3d355c4,D3d03c41,13499,46.02
S3d355c4,D3d03c41,15571,520.21
S3d355c4,D6ca4f41,16796,464.69
S3d355c4,D017c84c,11201,2016.18
S3d355c4,D98c2300,10985,3423.66
S3d355c4,D98c2300,17714,2332.34
S3d355c4,D6ca4f41,16574,1452.99
S3d355c4,D98c2300,11467,2541.85
S3d355c4,D6ca4f41,14406,2559.47
S3d355c4,D3d03c41,14253,4324.49
S3d355c4,D98c2300,15501,5296.18
S3d355c4,D017c84c,18307,1830.7
S3d355c4,D6ca4f41,11709,558.13
S3d355c4,D98c2300,18033,2374.35
S3d355c4,D6c9864c,16217,280.83
S3d355c4,D017c84c,17945,897.25
S3d355c4,D98c2300,19498,2177.28
S3d355c4,D6ca4f41,11545,4013.81
S3d355c4,D6c9864c,10203,1196.99
S3d355c4,D6c9864c,15646,1053.24
S3d355c4,D6c9864c,13266,1954.31
S3d355c4,D6c9864c,11499,3878.81
S3d355c4,D017c84c,16706,835.3
S3d355c4,D3d03c41,11825,749.81
S3d355c4,D98c2300,16325,6557.21
S3d355c4,D6c9864c,15508,888.87
S3d355c4,D9258c87,18932,572.47
S3d355c4,D9258c87,12212,491.39
S3d355c4,D9258c87,19656,397.8
S3d355c4,D017c84c,11110,333.3
S3d355c4,D017c84c,18984,1708.56
S3d355c4,D3d03c41,17377,3187.1
S3d355c4,D9258c87,18648,1869.24
S3d355c4,D3d03c41,19330,259.2
S3d355c4,D98c2300,10909,236.36
S3d355c4,D9258c87,12915,132.23
S3d355c4,D6ca4f41,16056,3334.3
S3d355c4,D6c9864c,14067,384.27
S3d355c4,D3d03c41,14696,1519.7
S3d355c4,D3d03c41,15768,8253.11
S3d355c4,D9258c87,18318,4.36
S3d355c4,D3d03c41,13422,3267.04
S3d355c4,D017c84c,14624,438.72
S3d355c4,D98c2300,16337,1660.93
S3d355c4,D017c84c,14826,1037.82
S3d355c4,D9258c87,14036,705.14
S3d355c4,D9258c87,15642,2037.18
S3d355c4,D9258c87,12982,262.73
S3d355c4,D017c84c,13082,1962.3
S3d355c4,D3d03c41,13340,11651.28
S3d355c4,D6c9864c,11647,2065.21
S3d355c4,D6ca4f41,18031,2482.27
S3d355c4,D98c2300,13461,1637.76
S3d355c4,D3d03c41,15513,1138.8
S3d355c4,D98c2300,13255,2407.99
S3d355c4,D6ca4f41,10874,1496.99
S3d355c4,D3d03c41,15801,685.91
S3d355c4,D6c9864c,12708,3397.07
S3d355c4,D3d03c41,16184,3453.81
S3d355c4,D6c9864c,16169,2220.28
S3d355c4,D9258c87,14802,1039.66
S3d355c4,D017c84c,10887,326.61
S3d355c4,D017c84c,15038,751.9
S3d355c4,D98c2300,18339,2231.25
S3d355c4,D6c9864c,16578,1281.76
S3d355c4,D017c84c,12421,372.63
S3d355c4,D9258c87,12425,127.21
S3d355c4,D017c84c,14001,3500.25
S3d355c4,D6c9864c,12903,481.5
S3d355c4,D3d03c41,18792,3822.46
S3d355c4,D98c2300,12828,1817.3
S3d355c4,D9258c87,13607,547.52
S3d355c4,D3d03c41,13163,44.87
S3d355c4,D3d03c41,10255,2598.71
S3d355c4,D017c84c,16510,825.5
S3d355c4,D6c9864c,16726,1293.21
