source_id,destination_id,units_shipped,total_cost
S89052cd,D017c84c,10818,21.11
S89052cd,D017c84c,13907,444.35
S89052cd,D98c2300,15360,567.85
S89052cd,D6ca4f41,17289,1685.68
S89052cd,D9258c87,10446,2996.51
S89052cd,D98c2300,19677,727.45
S89052cd,D017c84c,10521,20.53
S89052cd,D6ca4f41,11377,881.72
S89052cd,D017c84c,14021,307.78
S89052cd,D6c9864c,19904,2995.31
S89052cd,D9258c87,14245,3658.93
S89052cd,D017c84c,18900,36.88
S89052cd,D9258c87,11510,1460.13
S89052cd,D3d03c41,12041,7563.94
S89052cd,D6ca4f41,12260,1563.15
S89052cd,D6ca4f41,18541,1622.34
S89052cd,D6c9864c,14167,7798.76
S89052cd,D3d03c41,15045,724.9
S89052cd,D017c84c,17312,5573.62
S89052cd,D6c9864c,15570,7948.3
S89052cd,D3d03c41,16898,-30.72
S89052cd,D017c84c,14227,739.11
S89052cd,D98c2300,16476,-49.93
S89052cd,D98c2300,19533,722.13
S89052cd,D6c9864c,19316,1361.54
S89052cd,D98c2300,10701,609.63
S89052cd,D017c84c,14539,464.54
S89052cd,D9258c87,10536,599.05
S89052cd,D9258c87,15116,4789.61
S89052cd,D3d03c41,17602,2608.3
S89052cd,D6ca4f41,17972,134.79
S89052cd,D98c2300,10963,514.93
S89052cd,D3d03c41,19760,1544.87
S89052cd,D3d03c41,17354,141.99
S89052cd,D98c2300,18584,1802.08
S89052cd,D6ca4f41,17345,130.09
S89052cd,D3d03c41,17325,1181.25
S89052cd,D98c2300,10216,1807.92
S89052cd,D017c84c,12799,1176.88
S89052cd,D6ca4f41,10983,82.37
S89052cd,D6c9864c,11373,3303.72
S89052cd,D9258c87,15062,4923.12
S89052cd,D9258c87,12556,1216.14
S89052cd,D9258c87,19967,1734.28
S89052cd,D98c2300,19984,139.28
S89052cd,D6c9864c,11279,569.45
S89052cd,D017c84c,10696,555.67
S89052cd,D3d03c41,11588,905.97
S89052cd,D9258c87,17059,1140.52
S89052cd,D98c2300,19683,530.84
S89052cd,D017c84c,14988,778.64
S89052cd,D3d03c41,13156,897.0
S89052cd,D3d03c41,16774,472.72
S89052cd,D6c9864c,18876,1141.77
S89052cd,D98c2300,10961,3364.69
S89052cd,D3d03c41,18621,2014.45
S89052cd,D98c2300,10953,1171.64
S89052cd,D98c2300,18867,131.5
S89052cd,D6ca4f41,15013,562.99
S89052cd,D017c84c,12516,2527.62
S89052cd,D6ca4f41,19636,539.99
S89052cd,D017c84c,19132,1185.25
S89052cd,D017c84c,19669,1218.52
S89052cd,D017c84c,12821,25.02
S89052cd,D6c9864c,17855,1080.01
S89052cd,D3d03c41,18203,3607.5
S89052cd,D9258c87,13415,5055.54
S89052cd,D9258c87,19793,10032.22
S89052cd,D6ca4f41,13511,1452.43
S89052cd,D6c9864c,19934,7783.98
S89052cd,D98c2300,19135,2812.27
S89052cd,D9258c87,14383,961.61
S89052cd,D6c9864c,14814,1784.91
S89052cd,D98c2300,19347,908.72
S89052cd,D6c9864c,15707,5190.97
S89052cd,D6ca4f41,14070,1512.52
S89052cd,D9258c87,15119,4941.75
S89052cd,D017c84c,19282,1387.36
S89052cd,D98c2300,14690,1718.28
S89052cd,D3d03c41,12260,1203.71
S89052cd,D017c84c,17441,2999.0
S89052cd,D017c84c,17132,1232.67
S89052cd,D6ca4f41,11212,1990.13
S89052cd,D6c9864c,17227,1214.29
S89052cd,D3d03c41,17637,2084.37
S89052cd,D017c84c,19756,38.55
S89052cd,D6ca4f41,18228,1777.23
S89052cd,D98c2300,11172,1195.07
S89052cd,D6c9864c,15417,1395.05
S89052cd,D3d03c41,13014,2709.28
S89052cd,D017c84c,13207,289.91
S89052cd,D3d03c41,13764,112.61
S89052cd,D6c9864c,13962,3636.93
S89052cd,D6c9864c,11928,1914.3
S89052cd,D6ca4f41,10036,1279.59
S89052cd,D3d03c41,16718,1307.04
S89052cd,D98c2300,13252,887.48
S89052cd,D9258c87,11525,2153.53
S89052cd,D017c84c,14575,174.19
S89052cd,D6ca4f41,10655,825.76
S89052cd,D3d03c41,12938,1270.28
S89052cd,D98c2300,10095,474.16
S89052cd,D9258c87,13895,2179.53
S89052cd,D6ca4f41,15182,2998.44
S89052cd,D6ca4f41,13027,358.24
S89052cd,D9258c87,15325,1944.09
S89052cd,D98c2300,10260,-31.09
S89052cd,D3d03c41,17742,677.42
S89052cd,D6c9864c,18498,2598.74
S89052cd,D6ca4f41,11144,-27.86
S89052cd,D3d03c41,15294,6089.79
S89052cd,D6ca4f41,19921,348.62
S89052cd,D3d03c41,11342,1567.26
S89052cd,D6c9864c,11276,2373.46
S89052cd,D6ca4f41,11753,88.15
S89052cd,D017c84c,19780,236.4
S89052cd,D98c2300,13652,504.71
S89052cd,D6c9864c,18339,6427.6
S89052cd,D6c9864c,19022,1721.26
S89052cd,D98c2300,12094,326.17
S89052cd,D017c84c,14709,469.97
S89052cd,D6c9864c,11047,1220.56
S89052cd,D6ca4f41,11379,85.34
S89052cd,D6c9864c,15654,633.8
S89052cd,D9258c87,15760,1053.67
S89052cd,D6ca4f41,14678,3486.02
S89052cd,D3d03c41,14920,1464.87
S89052cd,D3d03c41,15640,2630.36
S89052cd,D3d03c41,17419,1013.47
S89052cd,D6ca4f41,11413,313.86
S89052cd,D3d03c41,14252,4107.17
S89052cd,D6ca4f41,17262,647.33
S89052cd,D9258c87,14224,950.98
S89052cd,D6c9864c,18015,2530.89
S89052cd,D6ca4f41,19549,146.62
S89052cd,D9258c87,17506,1170.4
S89052cd,D3d03c41,17017,2691.78
S89052cd,D6c9864c,14261,2859.16
S89052cd,D017c84c,14725,175.98
S89052cd,D9258c87,17730,3135.68
S89052cd,D017c84c,18532,2074.68
S89052cd,D98c2300,17588,-229.18
S89052cd,D017c84c,12525,775.94
S89052cd,D9258c87,14948,7427.02
S89052cd,D017c84c,16940,3082.25
S89052cd,D9258c87,17821,2438.93
S89052cd,D017c84c,17361,1769.98
S89052cd,D6c9864c,13376,1745.4
S89052cd,D9258c87,17093,971.86
S89052cd,D6c9864c,16351,1152.55
S89052cd,D3d03c41,16228,1755.57
S89052cd,D9258c87,19487,1302.85
S89052cd,D017c84c,19601,1998.35
S89052cd,D9258c87,11860,674.33
S89052cd,D98c2300,15945,1705.63
S89052cd,D98c2300,11141,857.52
S89052cd,D017c84c,14734,1207.47
S89052cd,D6c9864c,16041,489.05
S89052cd,D3d03c41,18467,151.09
S89052cd,D6ca4f41,11937,2238.19
S89052cd,D9258c87,11729,1253.33
S89052cd,D6c9864c,13686,2880.74
S89052cd,D017c84c,12035,2069.43
S89052cd,D98c2300,19011,3554.48
S89052cd,D6ca4f41,14840,408.1
S89052cd,D017c84c,18637,595.47
S89052cd,D017c84c,19146,228.82
S89052cd,D017c84c,15266,1403.73
S89052cd,D6ca4f41,16565,4265.49
S89052cd,D017c84c,13175,1079.71
S89052cd,D6c9864c,13771,144.43
S89052cd,D3d03c41,14824,5606.17
S89052cd,D017c84c,18747,1161.4
S89052cd,D3d03c41,17806,4775.25
S89052cd,D3d03c41,14501,5629.02
S89052cd,D3d03c41,18228,695.98
S89052cd,D9258c87,17579,8734.25
S89052cd,D6ca4f41,15966,2993.62
S89052cd,D6c9864c,13527,547.68
S89052cd,D6ca4f41,18755,2016.16
S89052cd,D6ca4f41,14016,665.76
S89052cd,D98c2300,13325,92.87
S89052cd,D017c84c,12952,154.79
S89052cd,D98c2300,11461,79.88
S89052cd,D98c2300,12521,1339.37
S89052cd,D017c84c,14508,2349.59
S89052cd,D3d03c41,12819,745.83
S89052cd,D6c9864c,13575,1499.87
S89052cd,D3d03c41,19935,2355.95
S89052cd,D6ca4f41,10361,77.71
S89052cd,D9258c87,15523,4452.88
S89052cd,D3d03c41,13639,1066.32
S89052cd,D6ca4f41,13695,102.71
S89052cd,D6c9864c,19436,3313.6
S89052cd,D6ca4f41,16967,127.25
S89052cd,D3d03c41,14063,7990.34
S89052cd,D6ca4f41,17398,2740.19
S89052cd,D6c9864c,16315,334.26
S89052cd,D6c9864c,18806,3018.13
S89052cd,D6c9864c,12102,1337.12
S89052cd,D6c9864c,15616,3599.3
S89052cd,D9258c87,10330,1620.33
S89052cd,D3d03c41,13903,669.87
S89052cd,D6c9864c,18573,5952.42
S89052cd,D017c84c,10628,1402.38
S89052cd,D6c9864c,15729,951.41
S89052cd,D9258c87,13801,2302.8
S89052cd,D9258c87,16119,1400.05
S89052cd,D3d03c41,12399,969.38
S89052cd,D9258c87,17325,1158.3
S89052cd,D6c9864c,10772,1836.49
S89052cd,D017c84c,17035,1055.34
S89052cd,D6ca4f41,17789,1200.76
S89052cd,D3d03c41,14213,6370.01
S89052cd,D6ca4f41,15005,3113.54
S89052cd,D98c2300,13491,2522.41
S89052cd,D6ca4f41,16431,616.16
S89052cd,D3d03c41,10522,1664.39
S89052cd,D9258c87,16601,2603.99
S89052cd,D3d03c41,17268,2040.76
S89052cd,D6c9864c,11306,2605.9
S89052cd,D6c9864c,11091,449.05
S89052cd,D98c2300,12257,698.28
S89052cd,D3d03c41,14384,1843.77
S89052cd,D3d03c41,11872,215.85
S89052cd,D017c84c,16023,191.49
S89052cd,D98c2300,17119,-51.88
S89052cd,D3d03c41,18629,3319.35
S89052cd,D9258c87,18742,1627.88
S89052cd,D6ca4f41,15410,1656.58
S89052cd,D9258c87,19827,2515.2
S89052cd,D98c2300,17257,983.13
S89052cd,D6c9864c,17033,6821.51
S89052cd,D6ca4f41,13450,638.88
