source_id,destination_id,units_shipped,total_cost
S9ce0590,D6c9864c,17987,832.54
S9ce0590,D98c2300,13798,1356.15
S9ce0590,D98c2300,11625,1840.07
S9ce0590,D3d03c41,13116,25.39
S9ce0590,D9258c87,10226,51.13
S9ce0590,D6ca4f41,17814,832.7
S9ce0590,D6c9864c,15037,395.26
S9ce0590,D6ca4f41,19772,726.51
S9ce0590,D9258c87,18789,845.5
S9ce0590,D6c9864c,15005,2945.27
S9ce0590,D9258c87,12725,318.12
S9ce0590,D98c2300,11395,1575.77
S9ce0590,D9258c87,10670,480.15
S9ce0590,D98c2300,16147,779.67
S9ce0590,D9258c87,13807,69.03
S9ce0590,D98c2300,17880,-209.45
S9ce0590,D6c9864c,13550,356.17
S9ce0590,D9258c87,16818,252.27
S9ce0590,D017c84c,14575,1805.42
S9ce0590,D6ca4f41,11855,791.25
S9ce0590,D9258c87,15456,2241.12
S9ce0590,D98c2300,10687,195.42
S9ce0590,D017c84c,12520,1676.06
S9ce0590,D98c2300,15837,1556.55
S9ce0590,D9258c87,12373,556.78
S9ce0590,D6c9864c,13640,904.14
S9ce0590,D017c84c,11040,153.14
S9ce0590,D6ca4f41,18509,1790.64
S9ce0590,D017c84c,15414,-556.89
S9ce0590,D98c2300,11703,-137.09
S9ce0590,D6ca4f41,17061,456.28
S9ce0590,D98c2300,18020,870.11
S9ce0590,D6c9864c,19047,119.72
S9ce0590,D3d03c41,15455,3893.66
S9ce0590,D6c9864c,19407,1092.34
S9ce0590,D017c84c,12889,3272.14
S9ce0590,D98c2300,11992,1058.72
S9ce0590,D6c9864c,17087,3524.8
S9ce0590,D6c9864c,12786,336.09
S9ce0590,D6c9864c,19965,4118.49
S9ce0590,D6ca4f41,18796,314.72
S9ce0590,D017c84c,19403,269.14
S9ce0590,D6ca4f41,15842,1691.04
S9ce0590,D017c84c,16082,-98.57
S9ce0590,D98c2300,14579,266.59
S9ce0590,D3d03c41,17806,7512.98
S9ce0590,D6c9864c,14826,1279.27
S9ce0590,D6ca4f41,16818,449.78
S9ce0590,D3d03c41,13975,3241.3
S9ce0590,D98c2300,11280,1108.66
S9ce0590,D6c9864c,14502,816.26
S9ce0590,D98c2300,12480,727.41
S9ce0590,D017c84c,11570,2937.29
S9ce0590,D9258c87,14572,1530.06
S9ce0590,D9258c87,13852,900.38
S9ce0590,D3d03c41,18108,8002.57
S9ce0590,D98c2300,18124,512.65
S9ce0590,D017c84c,18114,-111.02
S9ce0590,D017c84c,16356,1698.91
S9ce0590,D017c84c,10509,776.31
S9ce0590,D6c9864c,16240,264.48
S9ce0590,D98c2300,10576,1885.55
S9ce0590,D9258c87,19071,1430.32
S9ce0590,D6ca4f41,12909,474.33
S9ce0590,D9258c87,11135,1169.18
S9ce0590,D017c84c,19100,4657.94
S9ce0590,D9258c87,15942,2471.01
S9ce0590,D6ca4f41,13865,370.81
S9ce0590,D98c2300,12967,-22.23
S9ce0590,D98c2300,11495,210.19
S9ce0590,D3d03c41,18743,1910.58
S9ce0590,D6ca4f41,15074,553.88
S9ce0590,D6ca4f41,19769,924.09
S9ce0590,D98c2300,16155,-189.24
S9ce0590,D3d03c41,16203,5378.35
S9ce0590,D9258c87,11439,2459.38
S9ce0590,D3d03c41,19461,1789.16
S9ce0590,D9258c87,19239,2404.88
S9ce0590,D6ca4f41,16743,1284.93
S9ce0590,D3d03c41,16932,32.77
S9ce0590,D017c84c,19951,6461.55
S9ce0590,D9258c87,16337,2205.5
S9ce0590,D9258c87,15130,2799.05
S9ce0590,D9258c87,16581,1243.58
S9ce0590,D3d03c41,13988,5762.15
S9ce0590,D6ca4f41,16355,600.95
S9ce0590,D98c2300,15612,441.6
S9ce0590,D6ca4f41,12979,476.9
S9ce0590,D98c2300,12168,587.54
S9ce0590,D6ca4f41,12135,688.59
S9ce0590,D6c9864c,13795,86.71
S9ce0590,D3d03c41,16918,878.64
S9ce0590,D017c84c,15276,822.93
S9ce0590,D6c9864c,10743,389.82
S9ce0590,D6c9864c,13606,357.64
S9ce0590,D6c9864c,15215,4964.44
S9ce0590,D6ca4f41,18931,695.6
S9ce0590,D9258c87,13815,345.37
S9ce0590,D3d03c41,11836,1443.23
S9ce0590,D6ca4f41,14167,520.55
S9ce0590,D9258c87,12561,62.8
S9ce0590,D9258c87,16150,80.75
S9ce0590,D6ca4f41,15333,256.74
S9ce0590,D9258c87,12260,674.3
S9ce0590,D98c2300,12530,3111.02
S9ce0590,D6c9864c,15316,3312.63
S9ce0590,D017c84c,15738,-253.84
S9ce0590,D3d03c41,14607,320.41
S9ce0590,D9258c87,12998,974.85
S9ce0590,D6c9864c,17199,2171.99
S9ce0590,D017c84c,10718,148.67
S9ce0590,D017c84c,13327,51.59
S9ce0590,D017c84c,14548,-380.13
S9ce0590,D6c9864c,12519,1205.4
S9ce0590,D6ca4f41,15936,744.92
S9ce0590,D6c9864c,12794,1359.82
S9ce0590,D017c84c,14378,-375.68
S9ce0590,D98c2300,11737,-20.12
S9ce0590,D98c2300,11392,208.31
S9ce0590,D017c84c,14911,2741.7
S9ce0590,D6c9864c,13312,4210.4
S9ce0590,D6c9864c,15312,402.49
S9ce0590,D6ca4f41,14352,957.91
S9ce0590,D3d03c41,15144,5481.15
S9ce0590,D6c9864c,17495,1684.52
S9ce0590,D9258c87,14353,932.94
S9ce0590,D017c84c,13517,187.49
S9ce0590,D6ca4f41,11688,312.59
S9ce0590,D3d03c41,12178,6599.69
S9ce0590,D3d03c41,12226,4302.76
S9ce0590,D3d03c41,12181,389.01
