,,,,,,,,,,,,,,
,Months,,,,,,,,,,,,Workers Scheduled,Wages per Worker
Temp Agency,1,2,3,4,5,6,7,8,9,10,11,12,,
The Chewy Charm,0,0,0,0,0,0,0,1,1,0,0,0,0," $8,080 "
Marzipan Manor,0,0,1,1,0,0,0,0,0,0,0,0,578," $7,777 "
Gumdrop Grotto,0,0,0,0,1,1,1,0,0,0,0,0,507," $9,297 "
Sweetie Spell,0,0,0,0,0,0,0,0,0,1,1,0,665," $6,702 "
Whimsy Whoppers,0,0,0,0,0,0,0,1,1,0,0,0,558," $7,209 "
Candycap Cove,1,1,0,0,0,0,0,0,0,0,0,1,472," $8,344 "
Available,472,472,578,578,507,507,507,558,558,665,665,472,,
Required,273,374,516,578,507,373,311,393,558,665,622,472,Total -->," $21,626,505 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
