,,,,,,,,,,,,,,,,,,,,,
Ship,From,,To ,,Unit Cost,Latitude (X1),Longitude (X2),Latitude (Y1),Longitude (Y2),Distance,Method,Binary,Congestion,Binary,,Nodes,,Inflow,Outflow,Net Flow,Supply/Demand
6350,1,Candy Cane Canyon,2,Chocolate Chip Cliffs, $19 ,37.5,-102.5,35.23,-108.66,200.76,Diesel Trucks,1,24,0,,1,Candy Cane Canyon,0,9459,-9459,-9459
1580,1,Candy Cane Canyon,3,Frosted Fluff Fields, $23 ,37.5,-102.5,44.1,-115.29,212.14,Air Freight,1,26,0,,2,Chocolate Chip Cliffs,6350,4959,1391,1391
1529,1,Candy Cane Canyon,6,Pixie Stix Plateau, $6 ,37.5,-102.5,30.18,-112.83,200.13,Cargo Ships (Heavy Fuel Oil),1,85,1,,3,Frosted Fluff Fields,1580,0,1580,1580
0,2,Chocolate Chip Cliffs,1,Candy Cane Canyon, $8 ,35.23,-108.66,37.5,-102.5,200.76,Electric/Hybrid Trucks,0,102,1,,4,Gingerbread Glades,1784,0,1784,1784
0,2,Chocolate Chip Cliffs,3,Frosted Fluff Fields, $9 ,35.23,-108.66,44.1,-115.29,214.73,Air Freight,1,91,1,,5,Molten Mocha Marsh,1975,0,1975,1975
1784,2,Chocolate Chip Cliffs,4,Gingerbread Glades, $17 ,35.23,-108.66,36.54,-90.7,192.08,Cargo Ships (Heavy Fuel Oil),1,98,1,,6,Pixie Stix Plateau,1529,0,1529,1529
1975,2,Chocolate Chip Cliffs,5,Molten Mocha Marsh, $9 ,35.23,-108.66,36.13,-111.4,206.08,Diesel Rail,1,104,1,,7,Turkish Delight Tundra,1200,0,1200,1200
0,2,Chocolate Chip Cliffs,6,Pixie Stix Plateau, $18 ,35.23,-108.66,30.18,-112.83,202.87,Diesel Rail,1,82,1,,,,,,,
1200,2,Chocolate Chip Cliffs,7,Turkish Delight Tundra, $24 ,35.23,-108.66,41.57,-92.9,196.94,Cargo Ships (Heavy Fuel Oil),1,109,1,,,,,,,
0,3,Frosted Fluff Fields,5,Molten Mocha Marsh, $24 ,44.1,-115.29,36.13,-111.4,217.19,Diesel Trucks,1,96,1,,,Tranportation Methods,,,,
0,3,Frosted Fluff Fields,6,Pixie Stix Plateau, $14 ,44.1,-115.29,30.18,-112.83,214.14,Electric/Hybrid Trucks,0,30,0,,,Eco-Friendly Alt (0),Less Eco-Fiendly (1),,,
